step,train_loss,val_loss,lr,grad_norm,tokens_seen
6110,3.5509,,0.0004,0.27,6406799360
6120,3.4932,,0.0004,0.28,6417285120
6130,3.5569,,0.0004,0.3,6427770880
6140,3.5379,,0.0004,0.32,6438256640
6150,3.5709,,0.0004,0.28,6448742400
6160,3.5339,,0.0004,0.33,6459228160
6170,3.5354,,0.0004,0.29,6469713920
6180,3.568,,0.0004,0.3,6480199680
6190,3.5459,,0.0004,0.28,6490685440
6200,3.5029,,0.0004,0.32,6501171200
6210,3.5416,,0.0004,0.3,6511656960
6220,3.5419,,0.0004,0.28,6522142720
6230,3.5252,,0.0004,0.26,6532628480
6240,3.4598,,0.0004,0.34,6543114240
6250,3.5544,,0.0004,0.29,6553600000
6260,3.5674,,0.0004,0.28,6564085760
6270,3.5591,,0.0004,0.29,6574571520
6280,3.5068,,0.0004,0.29,6585057280
6290,3.5575,,0.0004,0.31,6595543040
6300,3.504,,0.0004,0.27,6606028800
6310,3.5761,,0.0004,0.3,6616514560
6320,3.5564,,0.0004,0.28,6627000320
6330,3.5025,,0.0004,0.28,6637486080
6340,3.5252,,0.0004,0.29,6647971840
6350,3.543,,0.0004,0.34,6658457600
6360,3.5728,,0.0004,0.29,6668943360
6370,3.5307,,0.0004,0.33,6679429120
6380,3.5379,,0.0004,0.27,6689914880
6390,3.5388,,0.0004,0.31,6700400640
6400,3.5453,,0.0004,0.29,6710886400
6410,3.5393,,0.0004,0.28,6721372160
6420,3.5257,,0.0004,0.3,6731857920
6430,3.5221,,0.0004,0.29,6742343680
6440,3.5496,,0.0004,0.29,6752829440
6450,3.5423,,0.0004,0.3,6763315200
6460,3.5371,,0.0004,0.29,6773800960
6470,3.5586,,0.0004,0.3,6784286720
6480,3.5464,,0.0004,0.33,6794772480
6490,3.568,,0.0004,0.31,6805258240
6500,3.541,,0.0004,0.31,6815744000
6510,3.517,,0.0004,0.32,6826229760
6520,3.5326,,0.0004,0.28,6836715520
6530,3.5459,,0.0004,0.33,6847201280
6540,3.5202,,0.0004,0.31,6857687040
6550,3.5198,,0.0004,0.28,6868172800
6560,3.5476,,0.0004,0.27,6878658560
6570,3.5691,,0.0004,0.29,6889144320
6580,3.5375,,0.0004,0.28,6899630080
6590,3.541,,0.0004,0.32,6910115840
6600,3.5103,,0.0004,0.29,6920601600
6610,3.5602,,0.0004,0.3,6931087360
6620,3.5383,,0.0004,0.28,6941573120
6630,3.5149,,0.0004,0.26,6952058880
6640,3.5146,,0.0004,0.3,6962544640
6650,3.5195,,0.0004,0.29,6973030400
6660,3.5645,,0.0004,0.29,6983516160
6670,3.5169,,0.0004,0.31,6994001920
6680,3.5443,,0.0004,0.31,7004487680
6690,3.4992,,0.0004,0.25,7014973440
6700,3.5054,,0.0004,0.28,7025459200
6710,3.5368,,0.0004,0.33,7035944960
6720,3.528,,0.0004,0.37,7046430720
6730,3.528,,0.0004,0.31,7056916480
6740,3.5535,,0.0004,0.28,7067402240
6750,3.5474,,0.0004,0.29,7077888000
6760,3.4704,,0.0004,0.26,7088373760
6770,3.5188,,0.0004,0.3,7098859520
6780,3.5089,,0.0004,0.31,7109345280
6790,3.5512,,0.0004,0.3,7119831040
6800,3.5018,,0.0004,0.27,7130316800
6810,3.5208,,0.0004,0.3,7140802560
6820,3.5306,,0.0004,0.38,7151288320
6830,3.5377,,0.0004,0.3,7161774080
6840,3.5227,,0.0004,0.33,7172259840
6850,3.5171,,0.0004,0.3,7182745600
6860,3.5407,,0.0004,0.27,7193231360
6870,3.5286,,0.0004,0.29,7203717120
6880,3.5613,,0.0004,0.31,7214202880
6890,3.5588,,0.0004,0.28,7224688640
6900,3.5387,,0.0004,0.4,7235174400
6910,3.5139,,0.0004,0.29,7245660160
6920,3.5234,,0.0004,0.26,7256145920
6930,3.5474,,0.0004,0.32,7266631680
6940,3.5564,,0.0004,0.32,7277117440
6950,3.5136,,0.0004,0.27,7287603200
6960,3.5569,,0.0004,0.31,7298088960
6970,3.5401,,0.0004,0.33,7308574720
6980,3.4929,,0.0004,0.29,7319060480
6990,3.5333,,0.0004,0.3,7329546240
7000,3.5216,3.5031,0.0004,0.32,7340032000
7010,3.5312,,0.0004,0.36,7350517760
7020,3.5143,,0.0004,0.3,7361003520
7030,3.5444,,0.0004,0.29,7371489280
7040,3.4846,,0.0004,0.27,7381975040
7050,3.5169,,0.0004,0.26,7392460800
7060,3.4619,,0.0004,0.35,7402946560
7070,3.5308,,0.0004,0.28,7413432320
7080,3.5091,,0.0004,0.33,7423918080
7090,3.5242,,0.0004,0.28,7434403840
7100,3.5114,,0.0004,0.49,7444889600
7110,3.5509,,0.0004,0.27,7455375360
7120,3.4721,,0.0004,0.36,7465861120
7130,3.5222,,0.0004,0.29,7476346880
7140,3.5652,,0.0004,0.28,7486832640
7150,3.5113,,0.0004,0.28,7497318400
7160,3.5308,,0.0004,0.29,7507804160
7170,3.5157,,0.0004,0.33,7518289920
7180,3.5738,,0.0004,0.3,7528775680
7190,3.5409,,0.0004,0.28,7539261440
7200,3.4784,,0.0004,0.35,7549747200
7210,3.4924,,0.0004,0.25,7560232960
7220,3.5362,,0.0004,0.27,7570718720
7230,3.4973,,0.0004,0.33,7581204480
7240,3.5212,,0.0004,0.33,7591690240
7250,3.5318,,0.0004,0.31,7602176000
7260,3.4901,,0.0004,0.3,7612661760
7270,3.4813,,0.0004,0.31,7623147520
7280,3.5346,,0.0004,0.32,7633633280
7290,3.5568,,0.0004,0.4,7644119040
7300,3.5326,,0.0004,0.29,7654604800
7310,3.4781,,0.0004,0.32,7665090560
7320,3.4739,,0.0004,0.34,7675576320
7330,3.5125,,0.0004,0.35,7686062080
7340,3.5551,,0.0004,0.32,7696547840
7350,3.5003,,0.0004,0.29,7707033600
7360,3.5213,,0.0004,0.32,7717519360
7370,3.4919,,0.0004,0.3,7728005120
7380,3.4965,,0.0004,0.29,7738490880
7390,3.4776,,0.0004,0.31,7748976640
7400,3.5335,,0.0004,0.31,7759462400
7410,3.5117,,0.0004,0.31,7769948160
7420,3.4678,,0.0004,0.28,7780433920
7430,3.5318,,0.0004,0.31,7790919680
7440,3.5171,,0.0004,0.3,7801405440
7450,3.507,,0.0004,0.27,7811891200
7460,3.4799,,0.0004,0.28,7822376960
7470,3.5349,,0.0004,0.27,7832862720
7480,3.4658,,0.0004,0.32,7843348480
7490,3.5263,,0.0004,0.31,7853834240
7500,3.4769,,0.0004,0.3,7864320000
7510,3.5087,,0.0004,0.27,7874805760
7520,3.488,,0.0004,0.31,7885291520
7530,3.5163,,0.0004,0.41,7895777280
7540,3.5088,,0.0004,0.33,7906263040
7550,3.5233,,0.0004,0.3,7916748800
7560,3.5075,,0.0004,0.31,7927234560
7570,3.5104,,0.0004,0.27,7937720320
7580,3.5075,,0.0004,0.29,7948206080
7590,3.5207,,0.0004,0.31,7958691840
7600,3.5069,,0.0004,0.31,7969177600
7610,3.4725,,0.0004,0.4,7979663360
7620,3.4627,,0.0004,0.28,7990149120
7630,3.5023,,0.0004,0.31,8000634880
7640,3.5242,,0.0004,0.48,8011120640
7650,3.508,,0.0004,0.34,8021606400
7660,3.4941,,0.0004,0.31,8032092160
7670,3.5231,,0.0004,0.27,8042577920
7680,3.5194,,0.0004,0.29,8053063680
7690,3.5025,,0.0004,0.31,8063549440
7700,3.5212,,0.0004,0.27,8074035200
7710,3.503,,0.0004,0.29,8084520960
7720,3.5099,,0.0004,0.36,8095006720
7730,3.5083,,0.0004,0.33,8105492480
7740,3.472,,0.0004,0.28,8115978240
7750,3.5335,,0.0004,0.28,8126464000
7760,3.5184,,0.0004,0.3,8136949760
7770,3.4838,,0.0004,0.29,8147435520
7780,3.5105,,0.0004,0.3,8157921280
7790,3.5411,,0.0004,0.3,8168407040
7800,3.5525,,0.0004,0.33,8178892800
7810,3.5071,,0.0004,0.25,8189378560
7820,3.4898,,0.0004,0.29,8199864320
7830,3.532,,0.0004,0.32,8210350080
7840,3.5095,,0.0004,0.28,8220835840
7850,3.4863,,0.0004,0.31,8231321600
7860,3.5061,,0.0004,0.3,8241807360
7870,3.4867,,0.0004,0.28,8252293120
7880,3.4801,,0.0004,0.31,8262778880
7890,3.5245,,0.0004,0.33,8273264640
7900,3.4653,,0.0004,0.3,8283750400
7910,3.5149,,0.0004,0.32,8294236160
7920,3.4939,,0.0004,0.3,8304721920
7930,3.5126,,0.0004,0.31,8315207680
7940,3.4828,,0.0004,0.3,8325693440
7950,3.5001,,0.0004,0.32,8336179200
7960,3.5084,,0.0004,0.32,8346664960
7970,3.4809,,0.0004,0.34,8357150720
7980,3.5314,,0.0004,0.28,8367636480
7990,3.4952,,0.0004,0.31,8378122240
8000,3.5028,3.5247,0.0004,0.3,8388608000
8010,3.4701,,0.0004,0.31,8399093760
8020,3.489,,0.0004,0.29,8409579520
8030,3.5049,,0.0004,0.3,8420065280
8040,3.4936,,0.0004,0.34,8430551040
8050,3.518,,0.0004,0.29,8441036800
8060,3.4919,,0.0004,0.31,8451522560
8070,3.4836,,0.0004,0.3,8462008320
8080,3.4704,,0.0004,0.31,8472494080
8090,3.4865,,0.0004,0.32,8482979840
8100,3.5105,,0.0004,0.28,8493465600
8110,3.5139,,0.0004,0.34,8503951360
8120,3.4673,,0.0004,0.28,8514437120
8130,3.5041,,0.0004,0.28,8524922880
8140,3.5001,,0.0004,0.3,8535408640
8150,3.4824,,0.0004,0.32,8545894400
8160,3.4783,,0.0004,0.29,8556380160
8170,3.4915,,0.0004,0.28,8566865920
8180,3.475,,0.0004,0.28,8577351680
8190,3.5204,,0.0004,0.31,8587837440
8200,3.4932,,0.0004,0.32,8598323200
8210,3.4875,,0.0004,0.27,8608808960
8220,3.5193,,0.0004,0.29,8619294720
8230,3.4854,,0.0004,0.38,8629780480
8240,3.4685,,0.0004,0.36,8640266240
8250,3.5079,,0.0004,0.28,8650752000
8260,3.5064,,0.0004,0.32,8661237760
8270,3.4958,,0.0004,0.3,8671723520
8280,3.4954,,0.0004,0.28,8682209280
8290,3.4711,,0.0004,0.31,8692695040
8300,3.5332,,0.0004,0.33,8703180800
8310,3.4971,,0.0004,0.34,8713666560
8320,3.4819,,0.0004,0.3,8724152320
8330,3.5216,,0.0004,0.34,8734638080
8340,3.4705,,0.0004,0.26,8745123840
8350,3.5081,,0.0004,0.3,8755609600
8360,3.4794,,0.0004,0.3,8766095360
8370,3.4564,,0.0004,0.28,8776581120
8380,3.4679,,0.0004,0.29,8787066880
8390,3.4502,,0.0004,0.27,8797552640
8400,3.4523,,0.0004,0.28,8808038400
8410,3.501,,0.0004,0.27,8818524160
8420,3.4794,,0.0004,0.32,8829009920
8430,3.4913,,0.0004,0.29,8839495680
8440,3.5313,,0.0004,0.35,8849981440
8450,3.4806,,0.0004,0.3,8860467200
8460,3.5071,,0.0004,0.33,8870952960
8470,3.4537,,0.0004,0.29,8881438720
8480,3.5071,,0.0004,0.28,8891924480
8490,3.4858,,0.0004,0.3,8902410240
8500,3.4668,,0.0004,0.33,8912896000
8510,3.4932,,0.0004,0.28,8923381760
8520,3.5118,,0.0004,0.29,8933867520
8530,3.4547,,0.0004,0.29,8944353280
8540,3.4851,,0.0004,0.29,8954839040
8550,3.4989,,0.0004,0.28,8965324800
8560,3.4673,,0.0004,0.32,8975810560
8570,3.4927,,0.0004,0.3,8986296320
8580,3.4676,,0.0004,0.3,8996782080
8590,3.4964,,0.0004,0.37,9007267840
8600,3.4818,,0.0004,0.28,9017753600
8610,3.5071,,0.0004,0.28,9028239360
8620,3.4935,,0.0004,0.32,9038725120
8630,3.5081,,0.0004,0.37,9049210880
8640,3.4923,,0.0004,0.34,9059696640
8650,3.4933,,0.0004,0.29,9070182400
8660,3.4533,,0.0004,0.27,9080668160
8670,3.4938,,0.0004,0.35,9091153920
8680,3.4577,,0.0004,0.32,9101639680
8690,3.4931,,0.0004,0.33,9112125440
8700,3.4868,,0.0004,0.37,9122611200
8710,3.4857,,0.0004,0.33,9133096960
8720,3.4542,,0.0004,0.31,9143582720
8730,3.4995,,0.0004,0.31,9154068480
8740,3.4697,,0.0004,0.33,9164554240
8750,3.4778,,0.0004,0.28,9175040000
8760,3.4659,,0.0004,0.28,9185525760
8770,3.491,,0.0004,0.3,9196011520
8780,3.4937,,0.0004,0.29,9206497280
8790,3.508,,0.0004,0.32,9216983040
8800,3.4618,,0.0004,0.29,9227468800
8810,3.4828,,0.0004,0.26,9237954560
8820,3.523,,0.0004,0.31,9248440320
8830,3.5068,,0.0004,0.34,9258926080
8840,3.4374,,0.0004,0.28,9269411840
8850,3.4802,,0.0004,0.34,9279897600
8860,3.5232,,0.0004,0.32,9290383360
8870,3.475,,0.0004,0.31,9300869120
8880,3.4434,,0.0004,0.3,9311354880
8890,3.4984,,0.0004,0.29,9321840640
8900,3.4942,,0.0004,0.3,9332326400
8910,3.4664,,0.0004,0.32,9342812160
8920,3.4693,,0.0004,0.28,9353297920
8930,3.4747,,0.0004,0.3,9363783680
8940,3.5213,,0.0004,0.3,9374269440
8950,3.4653,,0.0004,0.33,9384755200
8960,3.4678,,0.0004,0.27,9395240960
8970,3.4972,,0.0004,0.35,9405726720
8980,3.4629,,0.0004,0.26,9416212480
8990,3.4795,,0.0004,0.3,9426698240
9000,3.4395,3.4788,0.0004,0.3,9437184000
9010,3.4659,,0.0004,0.31,9447669760
9020,3.5169,,0.0004,0.31,9458155520
9030,3.496,,0.0004,0.3,9468641280
9040,3.4626,,0.0004,0.32,9479127040
9050,3.451,,0.0004,0.33,9489612800
9060,3.4752,,0.0004,0.31,9500098560
9070,3.5097,,0.0004,0.38,9510584320
9080,3.4672,,0.0004,0.31,9521070080
9090,3.464,,0.0004,0.32,9531555840
9100,3.4789,,0.0004,0.33,9542041600
9110,3.5196,,0.0004,0.29,9552527360
9120,3.4822,,0.0004,0.3,9563013120
9130,3.5134,,0.0004,0.33,9573498880
9140,3.4758,,0.0004,0.28,9583984640
9150,3.5022,,0.0004,0.31,9594470400
9160,3.4659,,0.0004,0.31,9604956160
9170,3.5008,,0.0004,0.34,9615441920
9180,3.4664,,0.0004,0.45,9625927680
9190,3.4912,,0.0004,0.31,9636413440
9200,3.4828,,0.0004,0.31,9646899200
9210,3.4702,,0.0004,0.47,9657384960
9220,3.5218,,0.0004,0.28,9667870720
9230,3.4473,,0.0004,0.29,9678356480
9240,3.4601,,0.0004,0.3,9688842240
9250,3.4666,,0.0004,0.32,9699328000
9260,3.4575,,0.0004,0.32,9709813760
9270,3.4735,,0.0004,0.31,9720299520
9280,3.4736,,0.0004,0.31,9730785280
9290,3.5177,,0.0004,0.34,9741271040
9300,3.4584,,0.0004,0.41,9751756800
9310,3.4958,,0.0004,0.32,9762242560
9320,3.5026,,0.0004,0.3,9772728320
9330,3.4395,,0.0004,0.34,9783214080
9340,3.4584,,0.0004,0.33,9793699840
9350,3.4722,,0.0004,0.32,9804185600
9360,3.4489,,0.0004,0.33,9814671360
9370,3.4517,,0.0004,0.41,9825157120
9380,3.4452,,0.0004,0.33,9835642880
9390,3.498,,0.0004,0.37,9846128640
9400,3.4694,,0.0004,0.32,9856614400
9410,3.4607,,0.0004,0.31,9867100160
9420,3.4514,,0.0004,0.3,9877585920
9430,3.5419,,0.0004,0.37,9888071680
9440,3.4846,,0.0004,0.29,9898557440
9450,3.4715,,0.0004,0.32,9909043200
9460,3.4456,,0.0004,0.3,9919528960
9470,3.4378,,0.0004,0.27,9930014720
9480,3.5655,,0.0004,0.29,9940500480
9490,3.4458,,0.0004,0.3,9950986240
9500,3.4919,,0.0004,0.29,9961472000
9510,3.4767,,0.0004,0.41,9971957760
9520,3.486,,0.0004,0.33,9982443520
9530,3.4728,,0.0004,0.28,9992929280
9540,3.4879,,0.0004,0.29,10003415040
9550,3.4673,,0.0004,0.3,10013900800
9560,3.458,,0.0004,0.32,10024386560
9570,3.4659,,0.0004,0.27,10034872320
9580,3.4373,,0.0004,0.3,10045358080
9590,3.4481,,0.0004,0.27,10055843840
9600,3.5044,,0.0004,0.35,10066329600
9610,3.4791,,0.0004,0.27,10076815360
9620,3.4938,,0.0004,0.4,10087301120
9630,3.4667,,0.0004,0.28,10097786880
9640,3.4519,,0.0004,0.3,10108272640
9650,3.4903,,0.0004,0.32,10118758400
9660,3.4642,,0.0004,0.3,10129244160
9670,3.5148,,0.0004,0.31,10139729920
9680,3.4708,,0.0004,0.31,10150215680
9690,3.4471,,0.0004,0.29,10160701440
9700,3.4789,,0.0004,0.31,10171187200
9710,3.4357,,0.0004,0.26,10181672960
9720,3.5006,,0.0004,0.31,10192158720
9730,3.4604,,0.0004,0.34,10202644480
9740,3.5017,,0.0004,0.35,10213130240
9750,3.4621,,0.0004,0.35,10223616000
9760,3.5142,,0.0004,0.32,10234101760
9770,3.4774,,0.0004,0.28,10244587520
9780,3.5041,,0.0004,0.34,10255073280
9790,3.4703,,0.0004,0.34,10265559040
9800,3.4653,,0.0004,0.28,10276044800
9810,3.4981,,0.0004,0.33,10286530560
9820,3.4732,,0.0004,0.35,10297016320
9830,3.419,,0.0004,0.29,10307502080
9840,3.4842,,0.0004,0.28,10317987840
9850,3.4776,,0.0004,0.32,10328473600
9860,3.4759,,0.0004,0.31,10338959360
9870,3.4764,,0.0004,0.31,10349445120
9880,3.4648,,0.0004,0.31,10359930880
9890,3.4692,,0.0004,0.33,10370416640
9900,3.4609,,0.0004,0.32,10380902400
9910,3.4747,,0.0004,0.35,10391388160
9920,3.4902,,0.0004,0.31,10401873920
9930,3.425,,0.0004,0.29,10412359680
9940,3.4811,,0.0004,0.27,10422845440
9950,3.5288,,0.0004,0.36,10433331200
9960,3.437,,0.0004,0.36,10443816960
9970,3.4333,,0.0004,0.26,10454302720
9980,3.4708,,0.0004,0.27,10464788480
9990,3.4472,,0.0004,0.31,10475274240
10000,3.4539,3.4507,0.0004,0.28,10485760000
10010,3.4338,,0.0004,0.34,10496245760
10020,3.426,,0.0004,0.29,10506731520
10030,3.4344,,0.0004,0.34,10517217280
10040,3.4856,,0.0004,0.34,10527703040
10050,3.4798,,0.0004,0.35,10538188800
10060,3.4975,,0.0004,0.32,10548674560
10070,3.4243,,0.0004,0.31,10559160320
10080,3.4832,,0.0004,0.27,10569646080
10090,3.464,,0.0004,0.26,10580131840
10100,3.4624,,0.0004,0.35,10590617600
10110,3.471,,0.0004,0.33,10601103360
10120,3.4847,,0.0004,0.35,10611589120
10130,3.4488,,0.0004,0.3,10622074880
10140,3.4538,,0.0004,0.32,10632560640
10150,3.4845,,0.0004,0.29,10643046400
10160,3.4842,,0.0004,0.32,10653532160
10170,3.4355,,0.0004,0.29,10664017920
10180,3.4291,,0.0004,0.4,10674503680
10190,3.4778,,0.0004,0.3,10684989440
10200,3.4732,,0.0004,0.3,10695475200
10210,3.4406,,0.0004,0.27,10705960960
10220,3.4618,,0.0004,0.32,10716446720
10230,3.4564,,0.0004,0.31,10726932480
10240,3.4326,,0.0004,0.31,10737418240
10250,3.4082,,0.0004,0.35,10747904000
10260,3.4867,,0.0004,0.29,10758389760
10270,3.5321,,0.0004,0.33,10768875520
10280,3.4748,,0.0004,0.32,10779361280
10290,3.4691,,0.0004,0.27,10789847040
10300,3.4782,,0.0004,0.29,10800332800
10310,3.4788,,0.0004,0.29,10810818560
10320,3.4766,,0.0004,0.33,10821304320
10330,3.4569,,0.0004,0.32,10831790080
10340,3.4789,,0.0004,0.32,10842275840
10350,3.4611,,0.0004,0.28,10852761600
10360,3.4484,,0.0004,0.37,10863247360
10370,3.5029,,0.0004,0.28,10873733120
10380,3.4536,,0.0004,0.3,10884218880
10390,3.4363,,0.0004,0.33,10894704640
10400,3.4332,,0.0004,0.31,10905190400
10410,3.4506,,0.0004,0.32,10915676160
10420,3.4758,,0.0004,0.29,10926161920
10430,3.4697,,0.0004,0.36,10936647680
10440,3.4872,,0.0004,0.34,10947133440
10450,3.4375,,0.0004,0.31,10957619200
10460,3.4636,,0.0004,0.43,10968104960
10470,3.4896,,0.000399,0.41,10978590720
10480,3.4693,,0.000399,0.33,10989076480
10490,3.4668,,0.000399,0.29,10999562240
10500,3.4637,,0.000399,0.36,11010048000
10510,3.4432,,0.000398,0.37,11020533760
10520,3.4567,,0.000398,0.31,11031019520
10530,3.4444,,0.000398,0.31,11041505280
10540,3.4585,,0.000397,0.3,11051991040
10550,3.4748,,0.000397,0.29,11062476800
10560,3.465,,0.000397,0.29,11072962560
10570,3.4808,,0.000396,0.32,11083448320
10580,3.4514,,0.000396,0.3,11093934080
10590,3.4779,,0.000395,0.31,11104419840
10600,3.4635,,0.000395,0.28,11114905600
10610,3.4506,,0.000394,0.32,11125391360
10620,3.4602,,0.000394,0.29,11135877120
10630,3.4269,,0.000393,0.33,11146362880
10640,3.5322,,0.000392,0.32,11156848640
10650,3.4117,,0.000392,0.27,11167334400
10660,3.4701,,0.000391,0.31,11177820160
10670,3.4517,,0.000391,0.28,11188305920
10680,3.4601,,0.00039,0.27,11198791680
10690,3.4493,,0.000389,0.31,11209277440
10700,3.4854,,0.000388,0.33,11219763200
10710,3.4843,,0.000388,0.33,11230248960
10720,3.4557,,0.000387,0.28,11240734720
10730,3.4385,,0.000386,0.36,11251220480
10740,3.4907,,0.000385,0.3,11261706240
10750,3.4511,,0.000384,0.27,11272192000
10760,3.4442,,0.000383,0.3,11282677760
10770,3.4623,,0.000382,0.35,11293163520
10780,3.4711,,0.000381,0.28,11303649280
10790,3.4316,,0.00038,0.29,11314135040
10800,3.4715,,0.000379,0.5,11324620800
10810,3.4362,,0.000378,0.3,11335106560
10820,3.4813,,0.000377,0.27,11345592320
10830,3.4097,,0.000376,0.33,11356078080
10840,3.4786,,0.000375,0.28,11366563840
10850,3.4315,,0.000374,0.3,11377049600
10860,3.4511,,0.000373,0.35,11387535360
10870,3.4231,,0.000372,0.3,11398021120
10880,3.4516,,0.000371,0.34,11408506880
10890,3.5032,,0.000369,0.26,11418992640
10900,3.4418,,0.000368,0.35,11429478400
10910,3.4457,,0.000367,0.26,11439964160
10920,3.4541,,0.000366,0.31,11450449920
10930,3.4512,,0.000364,0.26,11460935680
10940,3.4244,,0.000363,0.37,11471421440
10950,3.4665,,0.000362,0.3,11481907200
10960,3.4042,,0.00036,0.32,11492392960
10970,3.4459,,0.000359,0.3,11502878720
10980,3.4462,,0.000358,0.3,11513364480
10990,3.4204,,0.000356,0.34,11523850240
11000,3.4304,3.44,0.000355,0.35,11534336000
11010,3.4581,,0.000353,0.35,11544821760
11020,3.4297,,0.000352,0.28,11555307520
11030,3.4422,,0.00035,0.26,11565793280
11040,3.4834,,0.000349,0.29,11576279040
11050,3.4407,,0.000347,0.31,11586764800
11060,3.4346,,0.000346,0.31,11597250560
11070,3.4629,,0.000344,0.31,11607736320
11080,3.4492,,0.000343,0.3,11618222080
11090,3.4258,,0.000341,0.32,11628707840
11100,3.4273,,0.000339,0.25,11639193600
11110,3.4155,,0.000338,0.28,11649679360
11120,3.4108,,0.000336,0.32,11660165120
11130,3.4933,,0.000334,0.25,11670650880
11140,3.466,,0.000333,0.29,11681136640
11150,3.4062,,0.000331,0.29,11691622400
11160,3.4675,,0.000329,0.31,11702108160
11170,3.4526,,0.000328,0.3,11712593920
11180,3.4412,,0.000326,0.26,11723079680
11190,3.3999,,0.000324,0.3,11733565440
11200,3.4161,,0.000322,0.24,11744051200
11210,3.4208,,0.00032,0.27,11754536960
11220,3.4213,,0.000319,0.28,11765022720
11230,3.4125,,0.000317,0.27,11775508480
11240,3.4331,,0.000315,0.27,11785994240
11250,3.413,,0.000313,0.3,11796480000
11260,3.4468,,0.000311,0.27,11806965760
11270,3.4617,,0.000309,0.29,11817451520
11280,3.4119,,0.000307,0.31,11827937280
11290,3.4282,,0.000306,0.28,11838423040
11300,3.4356,,0.000304,0.3,11848908800
11310,3.4226,,0.000302,0.28,11859394560
11320,3.3935,,0.0003,0.27,11869880320
11330,3.4382,,0.000298,0.27,11880366080
11340,3.4665,,0.000296,0.27,11890851840
11350,3.3995,,0.000294,0.27,11901337600
11360,3.4497,,0.000292,0.31,11911823360
11370,3.4086,,0.00029,0.29,11922309120
11380,3.4487,,0.000288,0.28,11932794880
11390,3.4646,,0.000286,0.26,11943280640
11400,3.416,,0.000284,0.31,11953766400
11410,3.4142,,0.000282,0.28,11964252160
11420,3.4045,,0.00028,0.28,11974737920
11430,3.4625,,0.000278,0.28,11985223680
11440,3.4136,,0.000276,0.3,11995709440
11450,3.4287,,0.000274,0.27,12006195200
11460,3.4313,,0.000271,0.31,12016680960
11470,3.4131,,0.000269,0.27,12027166720
11480,3.3757,,0.000267,0.29,12037652480
11490,3.4296,,0.000265,0.3,12048138240
11500,3.4346,,0.000263,0.28,12058624000
11510,3.4223,,0.000261,0.28,12069109760
11520,3.3759,,0.000259,0.27,12079595520
11530,3.4356,,0.000257,0.32,12090081280
11540,3.4324,,0.000255,0.27,12100567040
11550,3.4534,,0.000252,0.27,12111052800
11560,3.4544,,0.00025,0.33,12121538560
11570,3.4002,,0.000248,0.31,12132024320
11580,3.3801,,0.000246,0.27,12142510080
11590,3.3977,,0.000244,0.3,12152995840
11600,3.4498,,0.000242,0.27,12163481600
11610,3.4228,,0.00024,0.28,12173967360
11620,3.4295,,0.000237,0.27,12184453120
11630,3.3942,,0.000235,0.27,12194938880
11640,3.4213,,0.000233,0.23,12205424640
11650,3.4057,,0.000231,0.25,12215910400
11660,3.4017,,0.000229,0.28,12226396160
11670,3.3786,,0.000227,0.23,12236881920
11680,3.4503,,0.000224,0.27,12247367680
11690,3.441,,0.000222,0.3,12257853440
11700,3.4308,,0.00022,0.27,12268339200
11710,3.4681,,0.000218,0.24,12278824960
11720,3.4374,,0.000216,0.38,12289310720
11730,3.4411,,0.000213,0.28,12299796480
11740,3.402,,0.000211,0.24,12310282240
11750,3.3714,,0.000209,0.24,12320768000
11760,3.3878,,0.000207,0.23,12331253760
11770,3.3638,,0.000205,0.29,12341739520
11780,3.3898,,0.000203,0.25,12352225280
11790,3.38,,0.0002,0.24,12362711040
11800,3.4418,,0.000198,0.25,12373196800
11810,3.4084,,0.000196,0.25,12383682560
11820,3.3957,,0.000194,0.25,12394168320
11830,3.4135,,0.000192,0.26,12404654080
11840,3.422,,0.00019,0.27,12415139840
11850,3.4341,,0.000188,0.29,12425625600
11860,3.436,,0.000185,0.33,12436111360
11870,3.4057,,0.000183,0.23,12446597120
11880,3.446,,0.000181,0.25,12457082880
11890,3.4027,,0.000179,0.24,12467568640
11900,3.4198,,0.000177,0.25,12478054400
11910,3.448,,0.000175,0.24,12488540160
11920,3.3716,,0.000173,0.23,12499025920
11930,3.4132,,0.000171,0.26,12509511680
11940,3.3698,,0.000169,0.25,12519997440
11950,3.3775,,0.000166,0.26,12530483200
11960,3.3858,,0.000164,0.25,12540968960
11970,3.4033,,0.000162,0.23,12551454720
11980,3.4174,,0.00016,0.27,12561940480
11990,3.4082,,0.000158,0.25,12572426240
12000,3.3539,3.4203,0.000156,0.24,12582912000
12010,3.3924,,0.000154,0.25,12593397760
12020,3.3897,,0.000152,0.25,12603883520
12030,3.3704,,0.00015,0.25,12614369280
12040,3.3463,,0.000148,0.22,12624855040
12050,3.4252,,0.000146,0.23,12635340800
12060,3.3787,,0.000144,0.24,12645826560
12070,3.3992,,0.000142,0.23,12656312320
12080,3.4021,,0.00014,0.25,12666798080
12090,3.4081,,0.000138,0.23,12677283840
12100,3.433,,0.000136,0.23,12687769600
12110,3.3926,,0.000134,0.22,12698255360
12120,3.417,,0.000133,0.22,12708741120
12130,3.3844,,0.000131,0.22,12719226880
12140,3.4317,,0.000129,0.24,12729712640
12150,3.4077,,0.000127,0.22,12740198400
12160,3.4251,,0.000125,0.22,12750684160
12170,3.4142,,0.000123,0.23,12761169920
12180,3.4093,,0.000121,0.22,12771655680
