step,train_loss,val_loss,lr,grad_norm,tokens_seen
1450,3.9848,,0.0004,0.38,1520435200
1460,3.9511,,0.0004,0.31,1530920960
1470,3.9939,,0.0004,0.38,1541406720
1480,3.9541,,0.0004,0.31,1551892480
1490,3.9756,,0.0004,0.32,1562378240
1500,3.9802,,0.0004,0.31,1572864000
1510,3.9646,,0.0004,0.32,1583349760
1520,3.9487,,0.0004,0.29,1593835520
1530,3.9208,,0.0004,0.3,1604321280
1540,3.952,,0.0004,0.3,1614807040
1550,3.9748,,0.0004,0.31,1625292800
1560,3.9746,,0.0004,0.4,1635778560
1570,3.9497,,0.0004,0.33,1646264320
1580,3.9119,,0.0004,0.37,1656750080
1590,3.9537,,0.0004,0.3,1667235840
1600,3.9078,,0.0004,0.41,1677721600
1610,3.9262,,0.0004,0.29,1688207360
1620,3.8915,,0.0004,0.34,1698693120
1630,3.9157,,0.0004,0.32,1709178880
1640,3.8814,,0.0004,0.27,1719664640
1650,3.9151,,0.0004,0.36,1730150400
1660,3.9157,,0.0004,0.3,1740636160
1670,3.8952,,0.0004,0.33,1751121920
1680,3.9038,,0.0004,0.31,1761607680
1690,3.8872,,0.0004,0.32,1772093440
1700,3.9123,,0.0004,0.3,1782579200
1710,3.9025,,0.0004,0.35,1793064960
1720,3.9015,,0.0004,0.3,1803550720
1730,3.9492,,0.0004,0.3,1814036480
1740,3.899,,0.0004,0.28,1824522240
1750,3.8758,,0.0004,6.03,1835008000
1760,3.9274,,0.0004,0.41,1845493760
1770,3.8743,,0.0004,0.33,1855979520
1780,3.9137,,0.0004,0.41,1866465280
1790,3.9055,,0.0004,0.28,1876951040
1800,3.8792,,0.0004,0.38,1887436800
1810,3.8836,,0.0004,5.33,1897922560
1820,3.9255,,0.0004,1.01,1908408320
1830,3.8767,,0.0004,1.97,1918894080
1840,3.8808,,0.0004,0.29,1929379840
1850,3.8512,,0.0004,0.27,1939865600
1860,3.9173,,0.0004,0.29,1950351360
1870,3.8576,,0.0004,0.29,1960837120
1880,3.8566,,0.0004,0.35,1971322880
1890,3.8329,,0.0004,0.27,1981808640
1900,3.8633,,0.0004,0.35,1992294400
1910,3.8311,,0.0004,0.35,2002780160
1920,3.8384,,0.0004,0.31,2013265920
1930,3.8567,,0.0004,0.26,2023751680
1940,3.8629,,0.0004,0.29,2034237440
1950,3.901,,0.0004,0.3,2044723200
1960,3.8637,,0.0004,0.29,2055208960
