params: 109.5M | device: cuda
step   590 | loss 4.8493 | lr 3.38e-04 | gnorm 0.87 | 39,566 tok/s | mfu 21.7%
step   600 | loss 4.8279 | lr 3.43e-04 | gnorm 0.68 | 39,559 tok/s | mfu 21.7%
step   610 | loss 4.7187 | lr 3.49e-04 | gnorm 0.67 | 39,534 tok/s | mfu 21.7%
step   620 | loss 4.7358 | lr 3.55e-04 | gnorm 0.54 | 39,571 tok/s | mfu 21.7%
step   630 | loss 4.7810 | lr 3.61e-04 | gnorm 0.76 | 39,530 tok/s | mfu 21.6%
step   640 | loss 4.7502 | lr 3.66e-04 | gnorm 0.74 | 39,507 tok/s | mfu 21.6%
step   650 | loss 4.6412 | lr 3.72e-04 | gnorm 0.60 | 39,528 tok/s | mfu 21.6%
step   660 | loss 4.5948 | lr 3.78e-04 | gnorm 0.86 | 39,510 tok/s | mfu 21.6%
step   670 | loss 4.6530 | lr 3.83e-04 | gnorm 0.88 | 39,497 tok/s | mfu 21.6%
step   680 | loss 4.6164 | lr 3.89e-04 | gnorm 0.59 | 39,520 tok/s | mfu 21.6%
step   690 | loss 4.5998 | lr 3.95e-04 | gnorm 0.71 | 39,512 tok/s | mfu 21.6%
step   700 | loss 4.5488 | lr 4.00e-04 | gnorm 0.70 | 39,542 tok/s | mfu 21.7%
step   710 | loss 4.5618 | lr 4.00e-04 | gnorm 0.59 | 39,521 tok/s | mfu 21.6%
step   720 | loss 4.5392 | lr 4.00e-04 | gnorm 0.51 | 39,529 tok/s | mfu 21.6%
step   730 | loss 4.5531 | lr 4.00e-04 | gnorm 0.61 | 39,498 tok/s | mfu 21.6%
step   740 | loss 4.5188 | lr 4.00e-04 | gnorm 0.63 | 39,552 tok/s | mfu 21.7%
step   750 | loss 4.5132 | lr 4.00e-04 | gnorm 0.54 | 39,536 tok/s | mfu 21.7%
step   760 | loss 4.4629 | lr 4.00e-04 | gnorm 0.45 | 39,532 tok/s | mfu 21.6%
step   770 | loss 4.4975 | lr 4.00e-04 | gnorm 0.54 | 39,543 tok/s | mfu 21.7%
step   780 | loss 4.3995 | lr 4.00e-04 | gnorm 0.58 | 39,504 tok/s | mfu 21.6%
step   790 | loss 4.4406 | lr 4.00e-04 | gnorm 0.44 | 39,555 tok/s | mfu 21.7%
step   800 | loss 4.3936 | lr 4.00e-04 | gnorm 0.51 | 39,499 tok/s | mfu 21.6%
step   810 | loss 4.4028 | lr 4.00e-04 | gnorm 0.45 | 39,545 tok/s | mfu 21.7%
step   820 | loss 4.3659 | lr 4.00e-04 | gnorm 0.51 | 39,486 tok/s | mfu 21.6%
step   830 | loss 4.4325 | lr 4.00e-04 | gnorm 0.57 | 39,524 tok/s | mfu 21.6%
step   840 | loss 4.3555 | lr 4.00e-04 | gnorm 0.51 | 39,501 tok/s | mfu 21.6%
step   850 | loss 4.3120 | lr 4.00e-04 | gnorm 0.41 | 39,554 tok/s | mfu 21.7%
step   860 | loss 4.3512 | lr 4.00e-04 | gnorm 0.51 | 39,491 tok/s | mfu 21.6%
step   870 | loss 4.3369 | lr 4.00e-04 | gnorm 0.41 | 39,652 tok/s | mfu 21.7%
step   880 | loss 4.3504 | lr 4.00e-04 | gnorm 0.62 | 39,687 tok/s | mfu 21.7%
step   890 | loss 4.3473 | lr 4.00e-04 | gnorm 1.18 | 39,547 tok/s | mfu 21.7%
step   900 | loss 4.3585 | lr 4.00e-04 | gnorm 0.65 | 39,606 tok/s | mfu 21.7%
step   910 | loss 4.3153 | lr 4.00e-04 | gnorm 0.56 | 39,532 tok/s | mfu 21.6%
step   920 | loss 4.3201 | lr 4.00e-04 | gnorm 0.36 | 39,583 tok/s | mfu 21.7%
step   930 | loss 4.2665 | lr 4.00e-04 | gnorm 0.33 | 39,662 tok/s | mfu 21.7%
step   940 | loss 4.2477 | lr 4.00e-04 | gnorm 0.47 | 39,609 tok/s | mfu 21.7%
step   950 | loss 4.2243 | lr 4.00e-04 | gnorm 0.47 | 39,572 tok/s | mfu 21.7%
step   960 | loss 4.2099 | lr 4.00e-04 | gnorm 0.43 | 39,618 tok/s | mfu 21.7%
step   970 | loss 4.2193 | lr 4.00e-04 | gnorm 0.39 | 39,484 tok/s | mfu 21.6%
step   980 | loss 4.2116 | lr 4.00e-04 | gnorm 0.54 | 39,531 tok/s | mfu 21.6%
step   990 | loss 4.2378 | lr 4.00e-04 | gnorm 0.47 | 39,483 tok/s | mfu 21.6%
step  1000 | loss 4.2109 | lr 4.00e-04 | gnorm 0.42 | 39,527 tok/s | mfu 21.6%
W0903 16:39:17.053000 11424 torch/_inductor/utils.py:1613] [0/1] Not enough SMs to use max_autotune_gemm mode
  >> eval  step 1000  train 4.1659  val 4.2071  val_ppl 67.16
step  1010 | loss 4.2049 | lr 4.00e-04 | gnorm 0.39 | 33,964 tok/s | mfu 18.6%
step  1020 | loss 4.1716 | lr 4.00e-04 | gnorm 0.47 | 39,496 tok/s | mfu 21.6%
step  1030 | loss 4.2391 | lr 4.00e-04 | gnorm 0.36 | 39,535 tok/s | mfu 21.7%
step  1040 | loss 4.1986 | lr 4.00e-04 | gnorm 0.45 | 39,621 tok/s | mfu 21.7%
step  1050 | loss 4.1295 | lr 4.00e-04 | gnorm 0.36 | 39,496 tok/s | mfu 21.6%
step  1060 | loss 4.1382 | lr 4.00e-04 | gnorm 0.44 | 39,489 tok/s | mfu 21.6%
step  1070 | loss 4.1688 | lr 4.00e-04 | gnorm 0.41 | 39,500 tok/s | mfu 21.6%
step  1080 | loss 4.2060 | lr 4.00e-04 | gnorm 0.36 | 39,524 tok/s | mfu 21.6%
step  1090 | loss 4.1612 | lr 4.00e-04 | gnorm 0.37 | 39,541 tok/s | mfu 21.7%
step  1100 | loss 4.1310 | lr 4.00e-04 | gnorm 0.40 | 39,489 tok/s | mfu 21.6%
step  1110 | loss 4.1567 | lr 4.00e-04 | gnorm 0.38 | 39,521 tok/s | mfu 21.6%
step  1120 | loss 4.1742 | lr 4.00e-04 | gnorm 1.24 | 39,551 tok/s | mfu 21.7%
step  1130 | loss 4.1356 | lr 4.00e-04 | gnorm 0.37 | 39,521 tok/s | mfu 21.6%
step  1140 | loss 4.1026 | lr 4.00e-04 | gnorm 0.37 | 39,516 tok/s | mfu 21.6%
step  1150 | loss 4.0895 | lr 4.00e-04 | gnorm 0.34 | 39,496 tok/s | mfu 21.6%
step  1160 | loss 4.0744 | lr 4.00e-04 | gnorm 0.37 | 39,500 tok/s | mfu 21.6%
step  1170 | loss 4.1225 | lr 4.00e-04 | gnorm 0.31 | 39,470 tok/s | mfu 21.6%
step  1180 | loss 4.1491 | lr 4.00e-04 | gnorm 0.41 | 39,492 tok/s | mfu 21.6%
step  1190 | loss 4.0976 | lr 4.00e-04 | gnorm 0.35 | 39,487 tok/s | mfu 21.6%
step  1200 | loss 4.0251 | lr 4.00e-04 | gnorm 0.37 | 39,536 tok/s | mfu 21.7%
step  1210 | loss 4.0337 | lr 4.00e-04 | gnorm 0.32 | 39,454 tok/s | mfu 21.6%
step  1220 | loss 4.0934 | lr 4.00e-04 | gnorm 0.47 | 39,537 tok/s | mfu 21.7%
step  1230 | loss 4.0398 | lr 4.00e-04 | gnorm 0.34 | 39,466 tok/s | mfu 21.6%
step  1240 | loss 4.0496 | lr 4.00e-04 | gnorm 0.37 | 39,480 tok/s | mfu 21.6%
step  1250 | loss 4.0798 | lr 4.00e-04 | gnorm 0.35 | 39,538 tok/s | mfu 21.7%
step  1260 | loss 4.0291 | lr 4.00e-04 | gnorm 0.44 | 39,577 tok/s | mfu 21.7%
step  1270 | loss 4.0147 | lr 4.00e-04 | gnorm 0.32 | 39,488 tok/s | mfu 21.6%
step  1280 | loss 4.0402 | lr 4.00e-04 | gnorm 0.36 | 39,499 tok/s | mfu 21.6%
step  1290 | loss 4.0313 | lr 4.00e-04 | gnorm 0.33 | 39,504 tok/s | mfu 21.6%
step  1300 | loss 4.0094 | lr 4.00e-04 | gnorm 0.35 | 39,498 tok/s | mfu 21.6%
step  1310 | loss 4.0152 | lr 4.00e-04 | gnorm 0.33 | 39,503 tok/s | mfu 21.6%
step  1320 | loss 3.9784 | lr 4.00e-04 | gnorm 0.43 | 39,466 tok/s | mfu 21.6%
step  1330 | loss 3.9906 | lr 4.00e-04 | gnorm 0.34 | 39,488 tok/s | mfu 21.6%
step  1340 | loss 4.0219 | lr 4.00e-04 | gnorm 0.40 | 39,506 tok/s | mfu 21.6%
step  1350 | loss 3.9554 | lr 4.00e-04 | gnorm 0.34 | 39,521 tok/s | mfu 21.6%
step  1360 | loss 3.9746 | lr 4.00e-04 | gnorm 0.46 | 39,524 tok/s | mfu 21.6%
step  1370 | loss 3.9858 | lr 4.00e-04 | gnorm 0.31 | 39,492 tok/s | mfu 21.6%
